"Freq [GHz]","dB(S(1,2)) []","dB(S(1,3)) []","dB(S(1,4)) []","dB(S(2,3)) []","dB(S(2,4)) []","dB(S(3,4)) []"
1.056,-80.954166084907,-78.1490539723865,-80.9517062504677,-80.920795684392,-78.1241717094092,-80.943545374458
1.05633333333333,-80.9453429243264,-78.1373348827678,-80.942791051192,-80.9117380099068,-78.1124422072487,-80.9348067600498
1.05666666666667,-80.9365056501509,-78.1256075052705,-80.9338616931761,-80.9026662515801,-78.1007043959948,-80.9260541016447
1.057,-80.9276542384472,-78.1138718315622,-80.9249181531432,-80.8935803869517,-78.0889582672321,-80.9172873752072
1.05733333333333,-80.9187886652799,-78.1021278533002,-80.9159604078168,-80.8844803935621,-78.0772038125345,-80.9085065566977
1.05766666666667,-80.9099089067123,-78.0903755621305,-80.9069884339208,-80.8753662489532,-78.0654410234647,-80.8997116220735
1.058,-80.9010149388065,-78.0786149496882,-80.89800220818,-80.8662379306678,-78.0536698915741,-80.8909025472881
1.05833333333333,-80.8921067376233,-78.0668460075977,-80.8890017073201,-80.8570954162501,-78.0418904084032,-80.8820793082924
1.05866666666667,-80.8831842792226,-78.0550687274719,-80.8799869080679,-80.8479386832461,-78.0301025654811,-80.8732418810341
1.059,-80.8742475396638,-78.0432831009131,-80.8709577871515,-80.8387677092036,-78.0183063543258,-80.8643902414582
1.05933333333333,-80.8652964950056,-78.0314891195122,-80.8619143213004,-80.8295824716722,-78.0065017664439,-80.8555243655074
1.05966666666667,-80.8563311213065,-78.0196867748491,-80.8528564872461,-80.8203829482037,-77.9946887933309,-80.8466442291219
1.06,-80.8473513946249,-78.0078760584924,-80.8437842617216,-80.8111691163521,-77.9828674264705,-80.8377498082397
1.06033333333333,-80.8383572910192,-77.9960569619996,-80.8346976214624,-80.801940953674,-77.9710376573356,-80.8288410787972
1.06066666666667,-80.8293487865483,-77.984229476917,-80.825596543206,-80.7926984377288,-77.9591994773872,-80.8199180167289
1.061,-80.8203258572714,-77.9723935947793,-80.8164810036925,-80.7834415460784,-77.947352878075,-80.8109805979677
1.06133333333333,-80.8112884792486,-77.9605493071103,-80.8073509796646,-80.7741702562879,-77.9354978508374,-80.8020287984453
1.06166666666667,-80.8022366285409,-77.9486966054221,-80.798206447868,-80.7648845459258,-77.9236343871007,-80.7930625940923
1.062,-80.7931702812103,-77.9368354812155,-80.7890473850512,-80.7555843925637,-77.9117624782803,-80.7840819608384
1.06233333333333,-80.7840894133201,-77.9249659259798,-80.7798737679663,-80.7462697737768,-77.8998821157795,-80.7750868746124
1.06266666666667,-80.7749940009354,-77.9130879311931,-80.7706855733687,-80.7369406671442,-77.88799329099,-80.7660773113428
1.063,-80.7658840201227,-77.9012014883215,-80.7614827780174,-80.7275970502487,-77.8760959952919,-80.7570532469578
1.06333333333333,-80.7567594469507,-77.8893065888199,-80.7522653586754,-80.7182389006775,-77.8641902200537,-80.7480146573853
1.06366666666667,-80.7476202574901,-77.8774032241314,-80.7430332921097,-80.7088661960219,-77.8522759566317,-80.7389615185535
